seed,private_agent,collective_agent,player0,player1,evaluation_scenario,player0_score,player1_score,mean_score,private_agent_score,collective_agent_score
123,agent_0,agent_0,private,collective,pc,13.0,17.0,15.0,13.0,17.0
123,agent_0,agent_0,private,collective,pc,8.0,6.0,7.0,8.0,6.0
123,agent_0,agent_0,collective,private,cp,2.0,4.0,3.0,4.0,2.0
123,agent_0,agent_0,private,collective,pc,1.0,4.0,2.5,1.0,4.0
123,agent_0,agent_0,private,private,pp,24.0,23.0,23.5,,
123,agent_0,agent_0,private,collective,pc,8.0,9.0,8.5,8.0,9.0
123,agent_0,agent_0,collective,collective,cc,4.0,2.0,3.0,,
123,agent_0,agent_0,collective,collective,cc,4.0,1.0,2.5,,
123,agent_0,agent_0,private,private,pp,29.0,20.0,24.5,,
123,agent_0,agent_0,collective,private,cp,3.0,2.0,2.5,2.0,3.0
123,agent_0,agent_0,private,private,pp,22.0,22.0,22.0,,
123,agent_0,agent_0,collective,private,cp,8.0,14.0,11.0,14.0,8.0
123,agent_0,agent_0,private,collective,pc,22.0,30.0,26.0,22.0,30.0
123,agent_0,agent_0,private,collective,pc,2.0,3.0,2.5,2.0,3.0
123,agent_0,agent_0,collective,private,cp,3.0,2.0,2.5,2.0,3.0
123,agent_0,agent_0,private,private,pp,4.0,1.0,2.5,,
123,agent_0,agent_0,collective,collective,cc,5.0,9.0,7.0,,
123,agent_0,agent_0,private,collective,pc,3.0,6.0,4.5,3.0,6.0
123,agent_0,agent_0,private,collective,pc,1.0,5.0,3.0,1.0,5.0
123,agent_0,agent_0,collective,private,cp,26.0,17.0,21.5,17.0,26.0
123,agent_0,agent_0,private,private,pp,3.0,3.0,3.0,,
123,agent_0,agent_0,collective,collective,cc,16.0,13.0,14.5,,
123,agent_0,agent_0,collective,collective,cc,9.0,16.0,12.5,,
123,agent_0,agent_0,collective,collective,cc,18.0,26.0,22.0,,
123,agent_0,agent_0,collective,private,cp,7.0,11.0,9.0,11.0,7.0
123,agent_0,agent_0,collective,private,cp,23.0,29.0,26.0,29.0,23.0
123,agent_0,agent_0,private,collective,pc,3.0,2.0,2.5,3.0,2.0
123,agent_0,agent_0,private,private,pp,26.0,25.0,25.5,,
123,agent_0,agent_0,collective,collective,cc,7.0,9.0,8.0,,
123,agent_0,agent_0,collective,collective,cc,22.0,22.0,22.0,,
123,agent_0,agent_0,private,private,pp,2.0,7.0,4.5,,
123,agent_0,agent_0,collective,private,cp,15.0,23.0,19.0,23.0,15.0
123,agent_0,agent_0,collective,collective,cc,6.0,14.0,10.0,,
123,agent_0,agent_0,private,collective,pc,11.0,12.0,11.5,11.0,12.0
123,agent_0,agent_0,collective,private,cp,7.0,8.0,7.5,8.0,7.0
123,agent_0,agent_0,private,collective,pc,2.0,3.0,2.5,2.0,3.0
123,agent_0,agent_0,collective,private,cp,2.0,3.0,2.5,3.0,2.0
123,agent_0,agent_0,collective,private,cp,8.0,3.0,5.5,3.0,8.0
123,agent_0,agent_0,private,collective,pc,25.0,23.0,24.0,25.0,23.0
123,agent_0,agent_0,private,collective,pc,3.0,2.0,2.5,3.0,2.0
123,agent_0,agent_0,collective,collective,cc,3.0,2.0,2.5,,
123,agent_0,agent_0,collective,collective,cc,5.0,1.0,3.0,,
123,agent_0,agent_0,collective,private,cp,10.0,7.0,8.5,7.0,10.0
123,agent_0,agent_0,private,private,pp,22.0,24.0,23.0,,
123,agent_0,agent_0,private,private,pp,3.0,2.0,2.5,,
123,agent_0,agent_0,collective,collective,cc,11.0,11.0,11.0,,
123,agent_0,agent_0,collective,collective,cc,18.0,11.0,14.5,,
123,agent_0,agent_0,collective,private,cp,6.0,18.0,12.0,18.0,6.0
